Activity ID,Activity Name,Actual This Period Cost,Actual Total Cost
1038,Smontaggio Ponteggi Pila 67,0.0,0.0
1048,Passivazione Ferri Pila 68,0.0,0.0
1058,Inghisaggi Feri Baggioli Pila 68,0.0,0.0
1068,Montaggio Ferri Pulvino e Baggiolo Pila 68,0.0,0.0
1078,Strati di Malta Pulvini e Baggioli Pila 68,0.0,0.0
1088,Smontaggio Ponteggi Pila 68,0.0,0.0
1098,Montaggio Ponteggi Pila 69,0.0,0.0
1108,Bocciardatura Pulvino 69,0.0,0.0
1118,Passivazione Ferri Pila 69,0.0,0.0
1128,Inghisaggi Feri Baggioli Pila 69,0.0,0.0
1138,Montaggio Ferri Pulvino e Baggiolo Pila 69,0.0,0.0
1148,Strati di Malta Pulvini e Baggioli Pila 69,0.0,0.0
1158,Smontaggio Ponteggi Pila 69,0.0,0.0
1168,Montaggio Ponteggi Pila 70,0.0,0.0
1178,Bocciardatura Pulvino 70,0.0,0.0
1188,Passivazione Ferri Pila 70,0.0,0.0
1198,Inghisaggi Feri Baggioli Pila 70,0.0,0.0
1208,Montaggio Ferri Pulvino e Baggiolo Pila 70,0.0,0.0
1218,Strati di Malta Pulvini e Baggioli Pila 70,0.0,0.0
1228,Smontaggio Ponteggi Pila 70,0.0,0.0
1238,Montaggio Ponteggi Pila 71,0.0,0.0
1248,Bocciardatura Pulvino 71,0.0,0.0
1258,Passivazione Ferri Pila 71,0.0,0.0
1268,Montaggio Ferri Pulvino e Baggiolo Pila 71,0.0,0.0
1278,Strati di Malta Pulvini e Baggioli Pila 71,0.0,0.0
1288,Smontaggio Ponteggi Pila 71,0.0,0.0
1298,Montaggio Ponteggi Pila 72,0.0,0.0
1308,Bocciardatura Pulvino 72,0.0,0.0
1318,Passivazione Ferri Pila 72,0.0,0.0
1328,Inghisaggi Feri Baggioli Pila 72,0.0,0.0
1338,Montaggio Ferri Pulvino e Baggiolo Pila 72,0.0,0.0
1348,Strati di Malta Pulvini e Baggioli Pila 72,0.0,0.0
1358,Smontaggio Ponteggi Pila 72,0.0,0.0
1368,Montaggio Ponteggi Pila 73,0.0,0.0
1378,Bocciardatura Pulvino 73,0.0,0.0
1388,Passivazione Ferri Pila 73,0.0,0.0
1398,Inghisaggi Feri Baggioli Pila 73,0.0,0.0
1408,Montaggio Ferri Pulvino e Baggiolo Pila 73,0.0,0.0
1418,Strati di Malta Pulvini e Baggioli Pila 73,0.0,0.0
1428,Smontaggio Ponteggi Pila 73,0.0,0.0
1438,Montaggio Ponteggi Pila 74,0.0,0.0
1448,Passivazione Ferri Pila 74,0.0,0.0
1458,Inghisaggi Feri Baggioli Pila 74,0.0,0.0
1468,Montaggio Ferri Pulvino e Baggiolo Pila 74,0.0,0.0
1478,Strati di Malta Pulvini e Baggioli Pila 74,0.0,0.0
1488,Smontaggio Ponteggi Pila 74,0.0,0.0
1498,Montaggio Ponteggi Pila 75,0.0,0.0
1508,Bocciardatura Pulvino 75,0.0,0.0
1518,Passivazione Ferri Pila 75,0.0,0.0
1528,Inghisaggi Feri Baggioli Pila 75,0.0,0.0
1538,Montaggio Ferri Pulvino e Baggiolo Pila 75,0.0,0.0
1548,Strati di Malta Pulvini e Baggioli Pila 75,0.0,0.0
1558,Smontaggio Ponteggi Pila 75,0.0,0.0
1568,Montaggio Ponteggi Pila 76,0.0,0.0
1578,Bocciardatura Pulvino 76,0.0,0.0
1588,Passivazione Ferri Pila 76,0.0,0.0
1598,Inghisaggi Feri Baggioli Pila 76,0.0,0.0
1608,Montaggio Ferri Pulvino e Baggiolo Pila 76,0.0,0.0
1618,Strati di Malta Pulvini e Baggioli Pila 76,0.0,0.0
1628,Smontaggio Ponteggi Pila 76,0.0,0.0
1638,Montaggio Ponteggi Pila 31,0.0,0.0
1648,Bocciardatura Pila 31,0.0,0.0
1658,Passivazione Ferri Baggioli Pila 31,0.0,0.0
1668,Inghisaggi Feri Baggioli Pila 31,0.0,0.0
1678,Montaggio Ferri Pulvino e Baggiolo Pila 31,0.0,0.0
1688,Strati di Malta Pulvini e Baggioli Pila 31,0.0,0.0
1698,Smontaggio Ponteggi Pila 31,0.0,0.0
1708,Montaggio Ponteggi Pila 32,0.0,0.0
1718,Bocciardatura Pila 32,0.0,0.0
1728,Passivazione Ferri Baggioli Pila 32,0.0,0.0
1738,Inghisaggi Feri Baggioli Pila 32,0.0,0.0
1748,Strati di Malta Pulvini e Baggioli Pila 32,0.0,0.0
1758,Montaggio Ferri Pulvino e Baggiolo Pila 32,0.0,0.0
1768,Smontaggio Ponteggi Pila 32,0.0,0.0
1778,Montaggio Ponteggi Pila 33,0.0,0.0
1788,Bocciardatura Pila 33,0.0,0.0
1798,Passivazione Ferri Baggioli Pila 33,0.0,0.0
1808,Inghisaggi Feri Baggioli Pila 33,0.0,0.0
1818,Montaggio Ferri Pulvino e Baggiolo Pila 33,0.0,0.0
1828,Strati di Malta Pulvini e Baggioli Pila 33,0.0,0.0
1838,Smontaggio Ponteggi Pila 33,0.0,0.0
1848,Montaggio Ponteggi Pila 34,0.0,0.0
1858,Bocciardatura Pila 34,0.0,0.0
1868,Passivazione Ferri Baggioli Pila 34,0.0,0.0
1878,Inghisaggi Feri Baggioli Pila 34,0.0,0.0
1888,Strati di Malta Pulvini e Baggioli Pila 34,0.0,0.0
1898,Montaggio Ferri Pulvino e Baggiolo Pila 34,0.0,0.0
1908,Smontaggio Ponteggi Pila 34,0.0,0.0
1918,Montaggio Ponteggi Pila 35,0.0,0.0
1928,Bocciardatura Pila 35,0.0,0.0
1938,Passivazione Ferri Baggioli Pila 35,0.0,0.0
1948,Inghisaggi Feri Baggioli Pila 35,0.0,0.0
1958,Montaggio Ferri Pulvino e Baggiolo Pila 35,0.0,0.0
1968,Strati di Malta Pulvini e Baggioli Pila 35,0.0,0.0
1978,Smontaggio Ponteggi Pila 35,0.0,0.0
1988,Montaggio Ponteggi Pila 36,0.0,0.0
1998,Bocciardatura Baggioli Pila 36,0.0,0.0
2008,Passivazione Ferri Baggioli Pila 36,0.0,0.0
2018,Inghisaggi Feri Baggioli Pila 36,0.0,0.0
2028,Montaggio Ferri Pulvino e Baggiolo Pila 36,0.0,0.0
2038,Strati di Malta Pulvini e Baggioli Pila 36,0.0,0.0
2048,Smontaggio Ponteggi Pila 36,0.0,0.0
2058,Montaggio Ponteggi Pila 37,0.0,0.0
2068,Bocciardatura Baggioli Pila 37,0.0,0.0
2078,Passivazione Ferri Baggioli Pila 37,0.0,0.0
2088,Inghisaggi Feri Baggioli Pila 37,0.0,0.0
2098,Montaggio Ferri Pulvino e Baggiolo Pila 37,0.0,0.0
2108,Strati di Malta Pulvini e Baggioli Pila 37,0.0,0.0
2118,Smontaggio Ponteggi Pila 37,0.0,0.0
2128,Montaggio Ponteggi Pila 38,0.0,0.0
2138,Bocciardatura Baggioli Pila 38,0.0,0.0
2148,Passivazione Ferri Baggioli Pila 38,0.0,0.0
2158,Inghisaggi Feri Baggioli Pila 38,0.0,0.0
2168,Montaggio Ferri Pulvino e Baggiolo Pila 38,0.0,0.0
2178,Strati di Malta Pulvini e Baggioli Pila 38,0.0,0.0
2188,Smontaggio Ponteggi Pila 38,0.0,0.0
2198,Montaggio Ponteggi Pila 39,0.0,0.0
2208,Bocciardatura Baggioli Pila 39,0.0,0.0
2218,Passivazione Ferri Baggioli Pila 39,0.0,0.0
2228,Inghisaggi Feri Baggioli Pila 39,0.0,0.0
2238,Montaggio Ferri Pulvino e Baggiolo Pila 39,0.0,0.0
2248,Strati di Malta Pulvini e Baggioli Pila 39,0.0,0.0
2258,Smontaggio Ponteggi Pila 39,0.0,0.0
2268,Montaggio Ponteggi Pila 40,0.0,0.0
2278,Bocciardatura Baggioli Pila 40,0.0,0.0
2288,Passivazione Ferri Baggioli Pila 40,0.0,0.0
2298,Inghisaggi Feri Baggioli Pila 40,0.0,0.0
2308,Montaggio Ferri Pulvino e Baggiolo Pila 40,0.0,0.0
2318,Strati di Malta Pulvini e Baggioli Pila 40,0.0,0.0
2328,Smontaggio Ponteggi Pila 40,0.0,0.0
2338,Montaggio Ponteggi Pila 41,0.0,0.0
2348,Bocciardatura Baggioli Pila 41,0.0,0.0
2358,Passivazione Ferri Baggioli Pila 41,0.0,0.0
2368,Inghisaggi Feri Baggioli Pila 41,0.0,0.0
2378,Montaggio Ferri Pulvino e Baggiolo Pila 41,0.0,0.0
2388,Strati di Malta Pulvini e Baggioli Pila 41,0.0,0.0
2398,Smontaggio Ponteggi Pila 41,0.0,0.0
2408,Montaggio Ponteggi Pila 42,0.0,0.0
2418,Bocciardatura Baggioli Pila 42,0.0,0.0
2428,Passivazione Ferri Baggioli Pila 42,0.0,0.0
2438,Inghisaggi Feri Baggioli Pila 42,0.0,0.0
2448,Montaggio Ferri Pulvino e Baggiolo Pila 42,0.0,0.0
2458,Strati di Malta Pulvini e Baggioli Pila 42,0.0,0.0
2468,Smontaggio Ponteggi Pila 42,0.0,0.0
2478,Montaggio Ponteggi Pila 43,0.0,0.0
2488,Bocciardatura Baggioli Pila 43,0.0,0.0
2498,Passivazione Ferri Baggioli Pila 43,0.0,0.0
2508,Inghisaggi Feri Baggioli Pila 43,0.0,0.0
2518,Montaggio Ferri Pulvino e Baggiolo Pila 43,0.0,0.0
2528,Strati di Malta Pulvini e Baggioli Pila 43,0.0,0.0
2538,Smontaggio Ponteggi Pila 43,0.0,0.0
2548,Montaggio Ponteggi Pila 44,0.0,0.0
2558,Bocciardatura Baggioli Pila 44,0.0,0.0
2568,Passivazione Ferri Baggioli Pila 44,0.0,0.0
2578,Inghisaggi Feri Baggioli Pila 44,0.0,0.0
2588,Montaggio Ferri Pulvino e Baggiolo Pila 44,0.0,0.0
2598,Strati di Malta Pulvini e Baggioli Pila 44,0.0,0.0
2608,Smontaggio Ponteggi Pila 44,0.0,0.0
